venue_name,zone,date,time,team_1,team_2,latitude,longitude,TYPE_PDV
BAR POPEGUINE,KEUR MASSAR,18/01/2026,16 H,FINALE,,14.6815672,-17.4544187,
BAR OUTHEKOR,GRAND-YOFF,23/12/2025,15 H,SENEGAL,BOTSWANA,14.736913,-17.4467729,
CHEZ HENRIETTE,GRAND-YOFF,26/12/2025,15 H,AFRIQUE DU SUD,EGYPTE,14.7382659,-17.4518328,
CASA BAR,GRAND-YOFF,27/12/2025,15 H,SENEGAL,RD CONGO,14.7375747,-17.444779,
BAR KAMEME,GRAND-YOFF,28/12/2025,20 H,COTE D'IVOIRE,CAMEROUN,14.7343559,-17.4462383,
CHEZ MANOU,GRAND-YOFF,30/12/2025,19 H,SENEGAL,BENIN,14.7344494,-17.4539584,
COUCOU LE JOIE,GRAND-YOFF,03/01/2026,16 H,HUITIEME DE FINALE,,14.7328,-17.4562,
BAR EDIOUNGOU,GRAND-YOFF,09/01/2026,16 H,QUART DE FINALE,,14.7375483,-17.4481482,
BAR AWARA,GRAND-YOFF,14/01/2026,16 H,DEMI FINALE,,14.7416678,-17.4444997,
BAR ROYAUME DU PORC,GRAND-YOFF,17/01/2026,16 H,TROISIEME PLACE,,14.7378194,-17.4435484,
BAR SANTHIABA,GRAND-YOFF,18/01/2026,16 H,FINALE,,14.7372804,-17.4447347,
BAR ETALON,GRAND-DAKAR,23/12/2025,15 H,SENEGAL,BOTSWANA,14.6917911,-17.4337784,
BAR CHEZ JEAN,GRAND-DAKAR,26/12/2025,15 H,AFRIQUE DU SUD,EGYPTE,14.7382449,-17.4518402,
BAR BANDIAL,REUBEUSS,27/12/2025,15 H,SENEGAL,RD CONGO,14.6704586,-17.4414847,
BAR BISTRO,SICAP LIBERTE 5,28/12/2025,20 H,COTE D'IVOIRE,CAMEROUN,14.7090235,-17.4582593,
BAR CHEZ CATHO,LIBERTE 5,30/12/2025,19 H,SENEGAL,BENIN,14.7215509,-17.4628454,
BAR CHEZ GUILLAINE,HLM,03/01/2026,16 H,HUITIEME DE FINALE,,14.70865,-17.446952,
BAR ETALON,GRAND-DAKAR,09/01/2026,16 H,QUART DE FINALE,,14.700343,-17.4554238,
BAR SAMARITIN,LIBERT 3,14/01/2026,16 H,DEMI FINALE,,14.80691,-17.33091,
BAR CHEZ JEAN,GRAND-DAKAR,17/01/2026,16 H,TROISIEME PLACE,,14.7517342,-17.381228,
BAR ETALON,GRAND-DAKAR,18/01/2026,16 H,FINALE,,14.6917911,-17.4337784,
BAR UMIRAN,PARCELLES ASSAINIES U 17,23/12/2025,15 H,SENEGAL,BOTSWANA,14.7567058,-17.4406723,
BAR LA GOREENNE,PATTE D'OIE,26/12/2025,15 H,AFRIQUE DU SUD,EGYPTE,14.7476696,-17.4432123,
BAR DAKHARGUI,PARCELLES ASSAINIES U 17,27/12/2025,15 H,SENEGAL,RD CONGO,14.757696,-17.439845,
BAR ETHIOUNG,PARCELLES ASSAINIES U 7,28/12/2025,20 H,COTE D'IVOIRE,CAMEROUN,14.72545,-17.442953,
BAR MONTAGNE,PARCELLES ASSAINIES U 26,30/12/2025,19 H,SENEGAL,BENIN,14.756638,-17.441177,
BAR KANDJIDIASSA,PARCELLES ASSAINIES U 19,03/01/2026,16 H,HUITIEME DE FINALE,,14.75513,-17.451919,
BAR DAKHARGUI,PARCELLES ASSAINIES U 17,09/01/2026,16 H,QUART DE FINALE,,14.7575839,-17.4399306,
BAR KADETH,PARCELLES ASSAINIES U 12,14/01/2026,16 H,DEMI FINALE,,14.7573599,-17.4417203,
BAR CHEZ VINCENT,PARCELLES ASSAINIES U 24,17/01/2026,16 H,TROISIEME PLACE,,14.7536497,-17.4467705,
BAR UMIRAN,PARCELLES ASSAINIES U 17,18/01/2026,16 H,FINALE,,14.7567058,-17.4406723,
BAR SET SET,PARCELLES ASSAINIES U 21,23/12/2025,15 H,SENEGAL,BOTSWANA,14.7557735,-17.4448494,
BAR CASA ESTANCIA,PARCELLES ASSAINIES U 10,26/12/2025,15 H,AFRIQUE DU SUD,EGYPTE,14.76136,-17.4337118,
BAR CHEZ FRANCOIS,CITE FADIA,27/12/2025,15 H,SENEGAL,RD CONGO,14.7095886,-17.4523725,
BAR CASA ESTANCIA,PARCELLES ASSAINIES U 10,28/12/2025,20 H,COTE D'IVOIRE,CAMEROUN,14.76136,-17.4337118,
BAR SET SET,PARCELLES ASSAINIES U 21,30/12/2025,19 H,SENEGAL,BENIN,14.7557735,-17.4448494,
BAR CHEZ VALERIE,ROND POINT CASE,03/01/2026,16 H,HUITIEME DE FINALE,,14.7577258,-17.4285123,
BAR CHEZ FRANCOIS,CITE FADIA,09/01/2026,16 H,QUART DE FINALE,,14.7095886,-17.4523725,
BAR MAISON BLANCHE,PARCELLES U 10,14/01/2026,16 H,DEMI FINALE,,14.7617111,-17.4365972,
BAR CHEZ VALERIE,ROND POINT CASE,17/01/2026,16 H,TROISIEME PLACE,,14.7577274,-17.4285475,
BAR SET SET,PARECELLES U 21,18/01/2026,16 H,FINALE,,14.7557735,-17.4448494,
BAR JOYCE,OUAKAM,23/12/2025,15 H,SENEGAL,BOTSWANA,14.6928039,-17.4603993,
BAR JEROME,OUAKAM,26/12/2025,15 H,AFRIQUE DU SUD,EGYPTE,14.7269138,-17.4828138,
BAR JEROME,OUAKAM,27/12/2025,15 H,SENEGAL,RD CONGO,14.7269138,-17.4828138,
BAR LE BOURBEOIS,OUAKAM,28/12/2025,20 H,COTE D'IVOIRE,CAMEROUN,14.7274408,-17.4838794,
BAR JOYCE,OUAKAM,30/12/2025,19 H,SENEGAL,BENIN,14.6928039,-17.4603993,
BAR JEROME,OUAKAM,03/01/2026,16 H,HUITIEME DE FINALE,,14.7269138,-17.4828138,
BAR CHEZ LOPY,OUAKAM,09/01/2026,16 H,QUART DE FINALE,,14.72,-17.48,
BAR JOYCE,OUAKAM,14/01/2026,16 H,DEMI FINALE,,14.6928039,-17.4603993,
BAR AWALE,OUAKAM,17/01/2026,16 H,TROISIEME PLACE,,14.725,-17.481,
BAR JEROME,OUAKAM,18/01/2026,16 H,FINALE,,14.7269138,-17.4828138,
